iter	Logloss
0	0.683850671
1	0.6745890339
2	0.6653806683
3	0.6551724488
4	0.6466045342
5	0.6395593333
6	0.6318886117
7	0.6228089454
8	0.6161446469
9	0.6083555576
10	0.6012991291
11	0.5945291239
12	0.5879349979
13	0.5805245416
14	0.5745196258
15	0.5661594816
16	0.5599724757
17	0.5537368565
18	0.5489481648
19	0.54321731
20	0.5371889835
21	0.5321461776
22	0.5267901337
23	0.5217867439
24	0.5177924647
25	0.5125579535
26	0.5085528648
27	0.5043714788
28	0.4987000766
29	0.493950771
30	0.4907936947
31	0.4866605038
32	0.4834252524
33	0.4800029837
34	0.476100526
35	0.4730351816
36	0.4694007232
37	0.4668022499
38	0.4661910324
39	0.4632836508
40	0.4603594577
41	0.4570800423
42	0.4531317485
43	0.4507273695
44	0.4475250543
45	0.4449285518
46	0.4416368638
47	0.4385004809
48	0.4364107136
49	0.4334623632
50	0.4311732761
51	0.4289084358
52	0.4269469498
53	0.4245790306
54	0.4230196779
55	0.4202880262
56	0.4175437136
57	0.4157041486
58	0.412793781
59	0.4106269732
60	0.4097767511
61	0.4075887423
62	0.4052328867
63	0.4031287565
64	0.4006751969
65	0.398729776
66	0.3971432202
67	0.3952459944
68	0.3932732211
69	0.3915547111
70	0.3903360087
71	0.3882299076
72	0.386855452
73	0.3854812353
74	0.3839384254
75	0.38265394
76	0.3808590764
77	0.3786563463
78	0.3770806897
79	0.3751325215
80	0.3733665631
81	0.3719712349
82	0.3709625722
83	0.3695871611
84	0.3681630174
85	0.366994003
86	0.3655476132
87	0.3638326268
88	0.3623074347
89	0.3612404541
90	0.3602686992
91	0.3589587426
92	0.3574901962
93	0.356184211
94	0.3542964211
95	0.3531700179
96	0.3521396465
97	0.3510630509
98	0.3497716975
99	0.3483233368
100	0.346456509
101	0.3452804177
102	0.3441436827
103	0.342800551
104	0.3418944894
105	0.3408287929
106	0.3396514475
107	0.3385460661
108	0.337070592
109	0.3362090527
110	0.3352862991
111	0.33428328
112	0.3333850719
113	0.3322069202
114	0.3312061108
115	0.3301160779
116	0.3287975513
117	0.3277919344
118	0.3259835738
119	0.3247963146
120	0.3240256412
121	0.3229726952
122	0.3219175395
123	0.320410204
124	0.3192378751
125	0.31829831
126	0.3175969133
127	0.316555165
128	0.3155485329
129	0.3144152318
